date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:47:02	102804/102804	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2007%20Sep%202020%2006:15:12%20GMT	https://www.tql.com/ScriptResource.axd?d=NJmAwtEo3Ipnlaxl6CMhvnElASIpkBxNgnzyEV3hO-iZcKtRvZmWSkecmX6q3w12kRZNOyj0vGmJsoGZ6yhADRmAKffkJZgo4V7yGT6pbL_L5fH_8OxWae3QCjslyxa7ZDeVubPAVsyHrhnRAOns2djDlcAc7vS2Vw52Pq8811s1&t=ffffffffecf19baa	D:/work/tql/www.tql.com/ScriptResourceb108.js	(from https://www.tql.com/)
15:47:02	40329/40329	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2007%20Sep%202020%2003:52:15%20GMT	https://www.tql.com/ScriptResource.axd?d=dwY9oWetJoJoVpgL6Zq8ODwaysYCgcSzrtmWeeK2h3CQTzDGfJ4vlWGCfmp4KJubKEjq-r5-2jnfE5PHz9F2cmbPmYfzj19Q0b67fMjqzyVZ_S3fuflyIF20f8u-YI7bD3wCxM9iZVPFJYoLS6KsMnwNTvwYfFo691SQVlhHzXk1&t=ffffffffecf19baa	D:/work/tql/www.tql.com/ScriptResourceaf60.js	(from https://www.tql.com/)
15:47:03	1736/1736	---M--	200	added ('OK')	image/svg+xml	etag:%22a122f131b0d51:0%22	https://www.tql.com/App_Themes/TQL/images/TQLLogoCropped.svg	D:/work/tql/www.tql.com/App_Themes/TQL/images/TQLLogoCropped.svg	(from https://www.tql.com/)
15:47:05	33064/33064	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:47:02%20GMT	https://www.tql.com/logistics-services	D:/work/tql/www.tql.com/logistics-services.html	(from https://www.tql.com/)
15:47:06	48658/48658	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:47:04%20GMT	https://www.tql.com/full-truckload	D:/work/tql/www.tql.com/full-truckload.html	(from https://www.tql.com/)
15:47:07	46236/46236	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:47:05%20GMT	https://www.tql.com/less-than-truckload	D:/work/tql/www.tql.com/less-than-truckload.html	(from https://www.tql.com/)
15:47:09	52018/52018	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:47:06%20GMT	https://www.tql.com/intermodal	D:/work/tql/www.tql.com/intermodal.html	(from https://www.tql.com/)
15:47:11	51417/51417	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:47:08%20GMT	https://www.tql.com/logistics-services/industries/food_beverage	D:/work/tql/www.tql.com/logistics-services/industries/food_beverage.html	(from https://www.tql.com/)
15:47:12	50101/50101	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:47:10%20GMT	https://www.tql.com/logistics-services/industries/chemical-plastics	D:/work/tql/www.tql.com/logistics-services/industries/chemical-plastics.html	(from https://www.tql.com/)
15:47:13	25603/25603	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:47:11%20GMT	https://www.tql.com/logistics-services/industries/consumer-goods	D:/work/tql/www.tql.com/logistics-services/industries/consumer-goods.html	(from https://www.tql.com/)
15:47:15	25626/25626	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:47:13%20GMT	https://www.tql.com/logistics-services/industries/energy-infrastructure	D:/work/tql/www.tql.com/logistics-services/industries/energy-infrastructure.html	(from https://www.tql.com/)
15:47:17	25623/25623	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:47:14%20GMT	https://www.tql.com/logistics-services/industries/government-nonprofit	D:/work/tql/www.tql.com/logistics-services/industries/government-nonprofit.html	(from https://www.tql.com/)
15:47:18	26701/26701	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:47:15%20GMT	https://www.tql.com/logistics-services/industries/paper-packaging	D:/work/tql/www.tql.com/logistics-services/industries/paper-packaging.html	(from https://www.tql.com/)
15:47:19	26747/26747	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:47:17%20GMT	https://www.tql.com/logistics-services/industries/pharmaceutical-healthcare	D:/work/tql/www.tql.com/logistics-services/industries/pharmaceutical-healthcare.html	(from https://www.tql.com/)
15:47:21	25559/25559	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:47:19%20GMT	https://www.tql.com/logistics-services/industries/retail	D:/work/tql/www.tql.com/logistics-services/industries/retail.html	(from https://www.tql.com/)
